Score,Frente,Verso,Tema,Tempo
-13,Sintomático respiratório,"Pessoa que, durante a estratégia programática de busca ativa, apresenta tosse por 3 semanas ou mais",Tuberculose,1617543192.903261
-12,Principais formas de apresentação da TB,"Primária, pós-primária e miliar",Tuberculose,1617543194.641403
-14,Características do líquido pleural na TB pleural,"Características de exsudato, predomínio de linfócitos e baixo rendimento tanto da pesquisa de BAAR (<5%) quanto da cultura (<15%)",Tuberculose,1617543201.65447
-14,Até quantos dias pode ser colhido o teste do pezinho?,30,Neonatologia,1617543201.553375
-14,TB mais comum em PVHIV e crianças,TB ganglionar periférica,Tuberculose,1617543201.452256
-14,Exame radiológico quando há suspeita de lesão uretral em politraumatizado,Uretrocistografia retrógrada,Urologia,1617543201.3506632
-14,Julgue: todo politraumatizado deve ser submetido a um toque retal antes de proceder com a cateterização vesical.,VERDADEIRO,Urologia,1617543201.2495449
-14,Agente etiológico da Leucoencefalopatia Multifocal Progressiva (LEMP),Vírus JC,HIV,1617543201.147662
-14,Suspeita em paciente com HIV + dispneia progressiva insidiosa (20 dias) + tosse seca + febre baixa,Pneumocistose,HIV,1617543201.045424
-14,80% dos casos de pneumocistose ocorre com CD4 menor que ….,200,HIV,1617543200.944088
-14,Radiografia na pneumocistose,"Infiltrado intersticial bilateral difuso, peri-hilar e simétrico. Não há presença de derrame pleural e nem linfadenomegalias.",HIV,1617543200.842336
-14,Tto pneumocistose,SMX-TMP 21 dias IV ou VO,HIV,1617543200.740441
-14,Pacientes que já tiveram Pneumocistose Pulmonar no passado devem fazer quimioprofilaxia até ... ,Contagem de CD4 ficar acima de 200 e se manter assim por pelo menos 3 meses,HIV,1617543200.64007
-14,Medicamentos PrEP,Tenofovir e entricitabina,HIV,1617543200.538254
-14,Cirurgia à Hartmann,Sigmoidectomia + colostomia terminal,Abdome Agudo,1617543200.43768
-12,Critérios IAMST,"Nas derivações V2 e V3:\nMaior ou igual a 1,5 mm nas mulheres;\nMaior ou igual a 2 mm nos homens acima de 40 anos;\nMaior ou igual a 2,5 mm nos homens abaixo de 40 anos.\n\nEm outras derivações:\nMaior ou igual a 1 mm em duas ou mais derivações contíguas (próximas, relacionadas à mesma parede).\n",SCA,1617543199.441087
-12,Definição hemoptise maciça,perda sanguínea pelos pulmões maior que 500 a 600 mL em 24 horas,Tuberculose,1617543198.037374
-12,Tto embolia maciça por aspergiloma, Embolização por cateterismo angiográfico (Embolização por arteriografia brônquica),Tuberculose,1617543197.149313
-12,Diferença laringoscopio lamina curva e reta,"Curva é colocada na valécula e a reta, na epiglote",Trauma,1617543196.119952
-14,Via de acesso cirúrgica mais adequada para abordagem da carina,Toracotomia póstero-lateral direita,Trauma,1617543201.7564301
0,teste,teste,teste,1617545304.756153
